日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note
ホップ・ステップ・ワーイ！ (Guilty Kiss ver.),Hop・Step・Wai! (Guilty Kiss ver.),Hop・Step・와이! (Guilty Kiss ver.),Guilty Kiss,Guilty Kiss,Guilty Kiss,,,,,,,,,,,2018-06-30,https://youtu.be/evu0uohx_Gs,
"Thank you, FRIENDS!!","Thank you, FRIENDS!!","Thank you, FRIENDS!!",Aqours,Aqours,Aqours,,,,,,,,,,,2018-08-01,https://youtu.be/t_IThrVKPyE,
No.10,No.10,No.10,Aqours,Aqours,Aqours,,,,,,,,,,,2018-08-01,https://youtu.be/kv-Zp30IC8A,
僕らの走ってきた道は…,Bokura no Hashittekita Michi wa…,우리가 달려온 길은…,Aqours,Aqours,Aqours,,,,,,,,,,,2019-01-23,https://youtu.be/uR3HVz0EHaM,
Next SPARKLING!!,Next SPARKLING!!,Next SPARKLING!!,Aqours,Aqours,Aqours,,,,,,,,,,,2019-01-23,https://youtu.be/l5HblElvFSE,
逃走迷走メビウスループ,Tousou Meisou Mobius Loop,도망 황망 뫼비우스의 띠,松浦果南;黒澤ダイヤ;小原鞠莉,Kanan Matsuura;Dia Kurosawa;Mari Ohara,마츠우라 카난;쿠로사와 다이아;오하라 마리,,,,,,,,,,,2019-01-30,https://youtu.be/WRVyHfZXGHY,
Hop? Stop? Nonstop!,Hop? Stop? Nonstop!,Hop? Stop? Nonstop!,Aqours,Aqours,Aqours,,,,,,,,,,,2019-01-30,https://youtu.be/I2pz4zlngr8,
Believe Again,Believe Again,Believe Again,Saint Snow,Saint Snow,Saint Snow,,,,,,,,,,,2019-02-06,https://youtu.be/Zr7I5l-XPz8,
Brightest Melody,Brightest Melody,Brightest Melody,Aqours,Aqours,Aqours,,,,,,,,,,,2019-02-06,https://youtu.be/9FZx2gPq4Fg,
Over The Next Rainbow,Over The Next Rainbow,Over The Next Rainbow,Saint Aqours Snow,Saint Aqours Snow,Saint Aqours Snow,,,,,,,,,,,2019-02-06,https://youtu.be/Q3HBLj90OTk,
空も心も晴れるから (9人Ver),Sora mo Kokoro mo Hareru kara (9nin Ver),하늘도 마음도 맑을 테니까 (9인 Ver),Aqours,Aqours,Aqours,,,,,,,,,,,2020-10-07,https://youtu.be/rmBMuC0fdm8,Aqours CHRONICLE (2015~2017)
元気全開DAY! DAY! DAY! REMIX,Genki Zenkai Day! Day! Day! REMIX,원기전개 DAY! DAY! DAY! REMIX,CYaRon!,CYaRon!,CYaRon!,,,,,,,,,,,2021-06-02,https://youtu.be/tMvs02DIKko,REMIX
トリコリコPLEASE!! REMIX,Torikoriko PLEASE!! REMIX,토리코리코 PLEASE!! REMIX,AZALEA,AZALEA,AZALEA,,,,,,,,,,,2021-06-23,https://youtu.be/4nJpM9BZ6jc,REMIX
Strawberry Trapper REMIX,Strawberry Trapper REMIX,Strawberry Trapper REMIX,Guilty Kiss,Guilty Kiss,Guilty Kiss,,,,,,,,,,,2021-07-28,https://youtu.be/-ggh4kotDvo,REMIX
